user,sum_score,mean_score,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved
GauravKothariGK,0.10019029956166067,0.10019029956166067,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
TumpaleKalinga,0.10019029956166067,0.10019029956166067,0.0,0.0,0.0,0.0,0.0,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Zakwatson13,0.10019029956166067,0.10019029956166067,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Nitinvm1,0.10019029956166067,0.10019029956166067,0.0,0.0,0.0,0.0,0.0,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
nisman498,0.10019029956166067,0.10019029956166067,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
AsrarAh64126799,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
PreetiJ48181013,0.10019029495718364,0.10019029495718364,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
MahurinHannah,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
KatrinaAmin2,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
PerthLuxe,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Flatton4,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Anshuma29437040,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
samim22194507,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Jessica92805585,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Wstend1989,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
mikaela88841091,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
ThatBookGlow1,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
IStrain99,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
RayRay54479836,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Jared47441146,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
_DeMarcusB_,0.10019029495718364,0.10019029495718364,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
NayakShubh,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Sihle47868395,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
terrikonny,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
87_side,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
lizzy11965386,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
ray_donley,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
AsadKha20478006,0.10019029495718364,0.10019029495718364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
Mohamed24241941,0.10019029495718364,0.10019029495718364,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,0.0,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0
autisticmommaxo,0.10018920390748454,0.10018920390748454,0.00037764350453172205,0.0,0.0,0.0,0.0,0.0,2.3943280578458608e-06,1.0,0.001889644746787604,0.0,0.0,0.0,0.0
Jaynecutrone,0.10018897828810987,0.10018897828810987,0.0,0.0,0.0,0.0,0.0,0.0,1.381343110295689e-07,1.0,0.001889644746787604,0.0,0.0,0.0,0.0
oldkhann,0.1001889690791558,0.1001889690791558,0.0,0.0,0.0,0.0,0.0,0.0,4.604477034318963e-08,1.0,0.001889644746787604,0.0,0.0,0.0,0.0
AdrianMatache7,0.10018896447467876,0.10018896447467876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001889644746787604,0.0,0.0,0.0,0.0
nakedshorts1,0.10018896447467876,0.10018896447467876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001889644746787604,0.0,0.0,0.0,0.0
choppybaba,0.10018250956420309,0.10018250956420309,0.0,0.0,0.0,0.0,0.0,0.0008493552621419195,2.4265593970860935e-05,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0
Iamonlyjp,0.10017675641840498,0.10017675641840498,0.0,0.0,0.0,0.0,0.0,0.0008107482047718322,5.341193359809997e-06,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0
psstimbatman,0.10017288180146089,0.10017288180146089,0.0007552870090634442,0.0012989750692520773,0.0,0.0,8.354221392765997e-88,3.860705737008725e-05,1.3306938629181803e-05,1.0,0.0003779289493575208,0.0,0.0,0.0,0.0
jon5c,0.10016946322329516,0.10016946322329516,0.0,0.0,0.0,0.0,0.0,0.0007335340900316577,9.623357001726633e-06,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0
RandyScorpio,0.10016835139034763,0.10016835139034763,0.0,0.0,0.0,0.0,0.0,0.0006949270326615705,3.7112084896610846e-05,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0
Muntez_,0.10016721898550973,0.10016721898550973,0.00037764350453172205,0.0,0.0,0.0,0.0,0.000617712917921396,0.0001030021512577152,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0
