user,sum_score,mean_score,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved
Uber_Support,3.011948645058539,0.33466096056205985,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.0035397391557417546,0.011078323039391498,0.0008703220191470844,1.0,0.0,0.0,0.0,0.0
1975aregr8t,2.537803342486029,0.2819781491651143,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.036198371340463,0.0,6.930706997487169e-07,0.0,0.0,0.0,0.0,1.0,1.0
MrsKiraly,2.537802780536813,0.2819780867263126,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.036198371340463,0.0,1.3112148373624374e-07,0.0,0.0,0.0,0.0,1.0,1.0
ajb_neuk,2.153187320994866,0.23924303566609625,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.036198371340463,0.0,5.619492160124732e-08,0.0,0.0,0.6153846153846154,1.0,0.0,0.0
Alex51354835,2.1030200594513175,0.23366889549459083,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.036198371340463,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0
SouravBharati,2.1030200594513175,0.23366889549459083,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.036198371340463,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0
John_ExWife,2.0000211854854437,0.22222457616504931,0.0,0.0,0.0,0.0,0.0,7.44495807134977e-05,2.1185485443670238e-05,0.0,0.0,0.0,0.0,1.0,1.0
BkChoudhary0707,2.0000002997062483,0.22222225552291647,0.0006371455877668046,0.0,0.0,0.0,0.0,0.0,2.997062485399857e-07,0.0,0.0,1.0,1.0,0.0,0.0
Deepthi59226703,2.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Yolo90069420,2.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
OscarLo31708097,2.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
