Complaint Type,Sentiment
Post-COVID Uber Eats,-0.041682608695652115
Pre-COVID Uber Eats,0.04163103448275863
Drivers,-0.09199777158774372
Cancellations,-0.21628248175182482
Delays,-0.009344117647058822
Payments,0.03130629921259845
App,-0.018421580547112466
