user,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,mean_score,sum_score
LuchadorLD,0.002032520325203252,0.5023174939986284,0.0,0.0,0.1373678358509545,0.0015363686201785437,0.0012299757123675676,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15042620692181685,1.6546882761399853
Kirst3nF,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.002003370535563211,7.85792320390775e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15020597835019955,1.6522657618521952
saj_anderson,0.002032520325203252,0.5023174939986284,0.0,0.0,0.1373678358509545,9.47540118171789e-05,2.581220065550627e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1501856816381738,1.6520424980199118
Rubyfied,0.002032520325203252,0.5023174939986284,0.0,0.0,0.1373678358509545,1.353628740245413e-05,4.879592359041642e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1501803876380393,1.6519842640184321
AlexT,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0005008426338908027,0.0012245060733317129,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15017356007198324,1.6519091607918155
AlwynFJH,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.001252106584727007,0.0002454219542731808,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15015284914759938,1.651681340623593
bluedonkey,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.001143816285507374,2.8977847905709868e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15012332783800056,1.651356606218006
waltfrasier,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0007783365256411125,0.00013267620990054492,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15009952952910313,1.6510948248201345
joseeight,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.000724191376031296,2.9240090873182356e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15008520395922706,1.6509372435514975
ChKashifAli,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00039255233467116974,7.048716332849788e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15005880468932659,1.6506468515825925
dbaEBONY,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0003857841909699427,1.4479558132588059e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15005309780306322,1.6505840758336956
bluejena,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00037224790356748855,1.0826888228506984e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500515351705808,1.650566886876389
brittanymwehner,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00019627616733558487,1.4760532740594295e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15003589534406084,1.6503948487846691
YepWBK,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00016243544882944954,7.77363082150588e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15003218374220398,1.6503540211642438
riintendo,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0001150584429208601,2.708595221180121e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500296324072478,1.6503259564797257
iamnottomgreen,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00012859473032331422,1.04897186988995e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15002935423032865,1.6503228965336152
dodiesue,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,7.44495807134977e-05,4.240843416840798e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500273336454068,1.6503006700994747
futbolista_chi5,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00010152215551840597,9.515673391144545e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15002680453759112,1.6502948499135024
Npteggchaser,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,9.47540118171789e-05,1.4573216335256804e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500266490284314,1.6502931393127453
SerenaLocatelli,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,9.47540118171789e-05,4.40193552543104e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500257243665396,1.6502829680319355
natelivesay,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,7.44495807134977e-05,1.4179851884048074e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15002476741065368,1.6502724415171905
beebs_da_ish,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,2.707257480490826e-05,1.4236046805649321e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500204655187458,1.6502251207062035
LuBatchelder,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,2.707257480490826e-05,5.7693452843947245e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1500196958186075,1.6502166540046823
MsLuna80,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,1.353628740245413e-05,1.174473861466069e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15001900846460092,1.6502090931106101
esemee,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,1.353628740245413e-05,3.35296365554109e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15001824557596824,1.6502007013356508
Bigmanpfc,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,6.768143701227065e-06,1.5547261643011759e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15001746681404168,1.6501921349544584
red65reader,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0,1.404873040031183e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15001683790523937,1.650185216957633
gobluebeth,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0,5.806808565462223e-07,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15001676297867722,1.6501843927654494
wordofbrandon,0.0,0.5017367801327339,0.0,0.0,0.1373678358509545,0.0003790160472687156,0.0004589439247173868,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15001333250802978,1.6501466575883277
CapeVgirl,0.0,0.5017367801327339,0.0,0.0,0.1373678358509545,6.091329331104358e-05,2.491308190988631e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.14994291838344032,1.6493721022178436
ImranAkaShah,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00017597173623190367,7.704323751531007e-05,0.9999999999999999,0.008333333333333333,0.0,0.0,0.0,0.0,0.1498696435235473,1.6485660787590204
BrookeAshleyP,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0013400924528429589,0.0013788547913298054,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,0.1497150313057072,1.6468653443627792
musicman128,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00021658059843926607,2.4351132693873838e-05,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,0.14948975716815815,1.6443873288497397
fnemecek,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.00021658059843926607,1.989300224684155e-05,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,0.14948935188357207,1.6443828707192927
SparkzKay,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,1.353628740245413e-05,1.807603311506789e-05,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,0.14947072813082946,1.644178009439124
thatgirltyp,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,7.44495807134977e-05,4.3775843927371664e-05,0.9999999999999999,0.0020833333333333333,0.0,0.0,0.0,0.0,0.14928920810999216,1.642181289209914
UberVirgDetroit,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,1.353628740245413e-05,2.172870301914896e-06,0.9999999999999999,0.0020833333333333333,0.0,0.0,0.0,0.0,0.1492798884493616,1.6420787729429775
GaiainMA,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,1.353628740245413e-05,1.6296527264361723e-06,0.9999999999999999,0.0020833333333333333,0.0,0.0,0.0,0.0,0.14927983906594566,1.6420782297254022
realchetty,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,6.768143701227065e-06,2.5849663936573765e-06,0.9999999999999999,0.0020833333333333333,0.0,0.0,0.0,0.0,0.14927931062685162,1.642072416895368
Uber_India,0.028455284552845527,0.3430442637759711,0.0,0.0,0.03773584905660379,0.0011844251477147363,0.0059770042513518674,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.12969099167428547,1.42660090841714
UberEats,0.014227642276422762,0.3385353469694344,0.0,0.0,0.018867924528301896,0.004257162388071824,0.004493851685530147,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.12641690995276492,1.390586009480414
dkhos,0.002032520325203252,0.3353959156219589,0.0,0.0,0.018867924528301896,0.005867980588963865,0.0020342936252462206,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.12587334526863458,1.3846067979549803
renan_botelho,0.0,0.3348783293324188,0.0,0.0,0.018867924528301896,0.0001895080236343578,5.552058254203235e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.12587304794225965,1.3846035273648563
vellamalcolm,0.0,0.3348783293324188,0.0,0.0,0.018867924528301896,2.0304431103681193e-05,1.067703510423699e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.125852715535754,1.384379870893294
ShieldVoC,0.002032520325203252,0.3353959156219589,0.0,0.0,0.018867924528301896,0.00012182658662208716,0.0003290399976158368,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,0.12371944488421532,1.3609138937263685
TODAYshow,0.0,0.0023148148148148147,0.0,0.0,1.6400219566838582e-35,0.12367428985252216,0.07938694037889277,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1105072842435348,1.2155801266788828
_TrialNError,0.0,0.0,0.0,0.0,0.0,0.00014213101772576835,5.001348022511011e-06,0.11224489795918366,1.0,0.0,0.0,0.0,0.0,0.10112654821135746,1.112392030324932
Nishant63758708,0.0,0.0,0.0,0.0,0.0,0.0,3.55901170141233e-07,0.11224489795918366,1.0,0.0,0.0,0.0,0.0,0.1011132048963958,1.1122452538603538
badkokonut,0.0,0.0,0.0,0.0,0.0,0.0,3.184378890737348e-07,0.11224489795918366,1.0,0.0,0.0,0.0,0.0,0.10111320149064297,1.1122452163970726
Ali93448904,0.0,0.0,0.0,0.0,0.0,0.0,1.8731640533749106e-08,0.11224489795918366,1.0,0.0,0.0,0.0,0.0,0.10111317424462038,1.1122449166908241
echkay96,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,1.2924831968286883e-06,0.0510204081632653,1.0,0.0,0.0,0.0,0.0,0.09554865790307861,1.0510352369338647
brittybumps,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,9.178503861537061e-07,0.0510204081632653,1.0,0.0,0.0,0.0,0.0,0.09554862384555035,1.051034862301054
Cadillac,0.0,0.0023148148148148147,0.0,0.0,1.6400219566838582e-35,0.018483800448051115,0.01336069851186669,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.09494212685521687,1.0443633954073857
Vancouver,0.0,0.0023148148148148147,0.0,0.0,1.6400219566838582e-35,0.005130252925530115,0.0011875860098396933,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09447680896801307,1.0392448986481437
TajinderBagga,0.0040650406504065045,0.0023148148148148147,0.0,0.0,2.3726621199674865e-25,0.006172547055519083,0.01341275374090998,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.09419720344493668,1.0361692378943035
KeiraFoSho,0.0040650406504065045,0.0,0.0,0.0,0.0,4.737700590858945e-05,1.9630759279369064e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09406766302850487,1.0347442933135536
RahulPadha5,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.0940615714134878,1.0346772855483657
QueenWordsmith,0.002032520325203252,0.0,0.0,0.0,0.0,0.0001895080236343578,7.157359847945534e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09390053153138876,1.0329058468452763
sAyAn801,0.002032520325203252,0.0,0.0,0.0,0.0,7.44495807134977e-05,7.455192932432144e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09388424272698258,1.0327266699968083
itsmaina,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,2.135407020847398e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.0938769909663803,1.0326469006301833
DallyceCole,0.0,0.0,0.0,0.0,0.0,6.091329331104358e-05,3.6152066230135776e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369788849071757,1.0306767733978932
jordsslouise,0.0,0.0,0.0,0.0,0.0,2.707257480490826e-05,1.404873040031183e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369576056392405,1.0306533662031645
KevinL94,0.0,0.0,0.0,0.0,0.0,6.768143701227065e-06,2.7385658460341193e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369512715455643,1.0306463987001206
EGPharoh,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,1.2568930798145651e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369439546510544,1.0306383501161598
fisaldanhav,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,1.592189445368674e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369401286531893,1.0306341415185083
Teakdragon,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,1.0302402293562009e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369396177902657,1.0306335795692922
rajeev1956,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,3.708864825682323e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369359000456248,1.0306294900501873
GEOFFKOLE,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,3.6526699040810757e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369358489593325,1.0306294338552657
mjarvis83,0.0,0.0,0.0,0.0,0.0,6.768143701227065e-06,3.5964749824798284e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369296450151299,1.0306226095166429
Akin4u2luv,0.0,0.0,0.0,0.0,0.0,0.0,3.55901170141233e-07,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369205461810268,1.0306126007991294
RoushanMohammed,0.0,0.0,0.0,0.0,0.0,0.0,1.4985312426999285e-07,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.09369203588646213,1.0306123947510835
astidog99,0.0,0.0,0.0,0.0,0.0,0.0,1.1238984320249464e-07,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.0936920324807093,1.0306123572878023
lyft,0.0,0.0023148148148148147,0.0,0.0,1.6400219566838582e-35,0.01229094896142835,0.005414848987293523,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.0936567903996536,1.0302246943961897
ksdknews,0.0,0.0023148148148148147,0.0,0.0,1.6400219566838582e-35,0.013164039498886641,0.004456013771651973,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.09364899542890968,1.0301389497180065
AnilSonkamble13,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,3.746328106749821e-08,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09313393103445397,1.0244732413789936
DWesterberg,0.0,0.0,0.0,0.0,0.0,0.0028832292167227293,0.00015768295001309998,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09304082503927655,1.023449075432042
rawatpankaj,0.002032520325203252,0.0,0.0,0.0,0.0,0.00045346562798221333,2.6055711982445006e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09299274590277036,1.022920204930474
AdesuaOkosuns,0.002032520325203252,0.0,0.0,0.0,0.0,9.47540118171789e-05,3.540280060878581e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09295808889839886,1.0225389778823875
jbanksbell,0.002032520325203252,0.0,0.0,0.0,0.0,6.091329331104358e-05,1.4797996021661794e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09295482515303842,1.0225030766834227
sn1pes130,0.002032520325203252,0.0,0.0,0.0,0.0,2.0304431103681193e-05,4.963884741443513e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09295145017330496,1.0224659519063546
l_petruzelli,0.002032520325203252,0.0,0.0,0.0,0.0,1.353628740245413e-05,1.6483843669699213e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09295053347838898,1.0224558682622789
totallyyeswow,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,5.619492160124732e-07,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09294920413997504,1.0224412455397254
ithnkimparanoid,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,1.3112148373624374e-07,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09294916497381757,1.0224408147119932
raghav_singla,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,9.365820266874553e-08,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09294916156806474,1.022440777248712
ShavikW,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09294915305368266,1.0224406835905093
JennaStern,0.0,0.0,0.0,0.0,0.0,0.000724191376031296,7.164852504159033e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09283672756057991,1.021204003166379
Lilly_jo_Cullen,0.0,0.0,0.0,0.0,0.0,0.00039255233467116974,0.00014539499382296056,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09281328278125457,1.0209461105938002
Leemparker,0.0,0.0,0.0,0.0,0.0,0.0004940744901895757,2.9670918605458585e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09281199169764555,1.020931908674101
kioken,0.0,0.0,0.0,0.0,0.0,0.00037224790356748855,2.41076213669351e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09280041079911278,1.0208045187902406
berrydelicious,0.0,0.0,0.0,0.0,0.0,0.00027749389175030963,2.9108969389446112e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09279225146604055,1.020714766126446
ModupeOfficial,0.0,0.0,0.0,0.0,0.0,0.00013536287402454128,2.9446138919053594e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09277936111620452,1.0205729722782497
Pascal__M,0.0,0.0,0.0,0.0,0.0,0.0001488991614269954,4.551788649701032e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.0927783285650348,1.0205616142153828
Sindirella_101,0.0,0.0,0.0,0.0,0.0,4.737700590858945e-05,3.926151855873813e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09277225470816122,1.0204948017897735
sham_god,0.0,0.0,0.0,0.0,0.0,6.768143701227064e-05,1.4797996021661794e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09277187660894,1.02049064269834
DimitriLyon,0.0,0.0,0.0,0.0,0.0,6.091329331104358e-05,1.7944911631331645e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09277154740638621,1.0204870214702484
PratKar,0.0,0.0,0.0,0.0,0.0,6.768143701227064e-05,5.919198408664718e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09277106944552065,1.020481763900727
TCook,0.0,0.0,0.0,0.0,0.0,6.091329331104358e-05,7.13675504335841e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09277056484669641,1.0204762133136605
KyleMersola,0.0,0.0,0.0,0.0,0.0,4.737700590858945e-05,1.0171280809825765e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276961014109314,1.0204657115520246
utsav_sha,0.0,0.0,0.0,0.0,0.0,4.0608862207362386e-05,3.14691560966985e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276835627664756,1.0204519190431232
giothecolombian,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,2.5924590498708762e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276796583120066,1.0204476241432072
sportsfan702,0.0,0.0,0.0,0.0,0.0,2.707257480490826e-05,1.2306687830673163e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276795841163107,1.0204475425279418
skittlesj21,0.0,0.0,0.0,0.0,0.0,3.384071850613532e-05,5.057542944112258e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.0927679146842506,1.0204470615267565
anneybells,0.0,0.0,0.0,0.0,0.0,1.353628740245413e-05,2.0604804587124015e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.0927674822142996,1.0204423043572957
dreamwithnikki,0.0,0.0,0.0,0.0,0.0,2.707257480490826e-05,5.338517552118496e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276732494160575,1.0204405743576632
BintouSmalls,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,8.972455815665823e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276704001383868,1.0204374401522254
eggsofsatan,0.0,0.0,0.0,0.0,0.0,2.707257480490826e-05,1.7233109291049178e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276699628645818,1.02043695915104
swagdonnyj,0.0,0.0,0.0,0.0,0.0,2.707257480490826e-05,8.616554645524589e-07,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276691795414323,1.0204360974955755
michellebeth05,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,7.530119494567141e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276690889235494,1.0204359978159043
choltenc,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,6.2189046572047034e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276678969100609,1.020434686601067
allienunn17,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,4.982616381977262e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276667730116289,1.0204334503127919
nuts_cracks,0.0,0.0,0.0,0.0,0.0,2.0304431103681193e-05,2.0230171776449037e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.09276640824668977,1.0204304907135875
