,source,target,clique
4,868,3,131
5,3,868,131
6,3,2,131
7,2,3,131
8,868,868,131
9,3,2,131
10,868,3,131
11,2,868,131
12,868,2,131
13,2,3,131
14,3,868,131
15,868,2,131
16,3,3,131
17,2,868,131
0,2,2,132
1,3,3,132
2,868,868,132
3,2,2,132
4,868,3,132
5,3,868,132
6,3,2,132
7,2,3,132
8,868,868,132
9,3,2,132
10,868,3,132
11,2,868,132
12,868,2,132
13,2,3,132
14,3,868,132
15,868,2,132
16,3,3,132
17,2,868,132
0,2,2,133
1,3,3,133
2,868,868,133
3,2,2,133
4,868,3,133
5,3,868,133
6,3,2,133
7,2,3,133
8,868,868,133
9,3,2,133
10,868,3,133
11,2,868,133
12,868,2,133
13,2,3,133
14,3,868,133
15,868,2,133
16,3,3,133
17,2,868,133
0,2,2,134
1,3,3,134
2,868,868,134
3,2,2,134
4,868,3,134
5,3,868,134
6,3,2,134
7,2,3,134
8,868,868,134
9,3,2,134
10,868,3,134
11,2,868,134
12,868,2,134
13,2,3,134
14,3,868,134
15,868,2,134
16,3,3,134
17,2,868,134
0,2,2,135
1,3,3,135
2,868,868,135
3,2,2,135
4,868,3,135
5,3,868,135
6,3,2,135
7,2,3,135
8,868,868,135
9,3,2,135
10,868,3,135
11,2,868,135
12,868,2,135
13,2,3,135
14,3,868,135
15,868,2,135
16,3,3,135
17,2,868,135
0,2,2,136
1,3,3,136
2,868,868,136
3,2,2,136
4,868,3,136
5,3,868,136
6,3,2,136
7,2,3,136
8,868,868,136
9,3,2,136
10,868,3,136
11,2,868,136
12,868,2,136
13,2,3,136
14,3,868,136
15,868,2,136
16,3,3,136
17,2,868,136
0,2,2,137
1,3,3,137
2,868,868,137
3,2,2,137
4,868,3,137
5,3,868,137
6,3,2,137
7,2,3,137
8,868,868,137
9,3,2,137
10,868,3,137
11,2,868,137
12,868,2,137
13,2,3,137
14,3,868,137
15,868,2,137
16,3,3,137
17,2,868,137
0,2,2,138
1,3,3,138
2,868,868,138
3,2,2,138
4,868,3,138
5,3,868,138
6,3,2,138
7,2,3,138
8,868,868,138
9,3,2,138
10,868,3,138
11,2,868,138
12,868,2,138
13,2,3,138
14,3,868,138
15,868,2,138
16,3,3,138
17,2,868,138
0,2,2,139
1,3,3,139
2,868,868,139
3,2,2,139
4,868,3,139
5,3,868,139
6,3,2,139
7,2,3,139
8,868,868,139
9,3,2,139
10,868,3,139
11,2,868,139
12,868,2,139
13,2,3,139
14,3,868,139
15,868,2,139
16,3,3,139
17,2,868,139
0,2,2,140
1,3,3,140
2,868,868,140
3,2,2,140
4,868,3,140
5,3,868,140
6,3,2,140
7,2,3,140
8,868,868,140
9,3,2,140
10,868,3,140
11,2,868,140
12,868,2,140
13,2,3,140
14,3,868,140
15,868,2,140
16,3,3,140
17,2,868,140
0,2,2,141
1,3,3,141
2,868,868,141
3,2,2,141
4,868,3,141
5,3,868,141
6,3,2,141
7,2,3,141
8,868,868,141
9,3,2,141
10,868,3,141
11,2,868,141
12,868,2,141
13,2,3,141
14,3,868,141
15,868,2,141
16,3,3,141
17,2,868,141
0,2,2,142
1,3,3,142
2,868,868,142
3,2,2,142
4,868,3,142
5,3,868,142
6,3,2,142
7,2,3,142
8,868,868,142
9,3,2,142
10,868,3,142
11,2,868,142
12,868,2,142
13,2,3,142
14,3,868,142
15,868,2,142
16,3,3,142
17,2,868,142
0,2,2,143
1,3,3,143
2,868,868,143
3,2,2,143
4,868,3,143
5,3,868,143
6,3,2,143
7,2,3,143
8,868,868,143
9,3,2,143
10,868,3,143
11,2,868,143
12,868,2,143
13,2,3,143
14,3,868,143
15,868,2,143
16,3,3,143
17,2,868,143
0,2,2,144
1,3,3,144
2,868,868,144
3,2,2,144
4,868,3,144
5,3,868,144
6,3,2,144
7,2,3,144
8,868,868,144
9,3,2,144
10,868,3,144
11,2,868,144
12,868,2,144
13,2,3,144
14,3,868,144
15,868,2,144
16,3,3,144
17,2,868,144
0,2,2,145
1,3,3,145
2,868,868,145
3,2,2,145
4,868,3,145
5,3,868,145
6,3,2,145
7,2,3,145
8,868,868,145
9,3,2,145
10,868,3,145
11,2,868,145
12,868,2,145
13,2,3,145
14,3,868,145
15,868,2,145
16,3,3,145
17,2,868,145
0,2,2,146
1,3,3,146
2,868,868,146
3,2,2,146
4,868,3,146
5,3,868,146
6,3,2,146
7,2,3,146
8,868,868,146
9,3,2,146
10,868,3,146
11,2,868,146
12,868,2,146
13,2,3,146
14,3,868,146
15,868,2,146
16,3,3,146
17,2,868,146
0,2,2,147
1,3,3,147
2,868,868,147
3,2,2,147
4,868,3,147
5,3,868,147
6,3,2,147
7,2,3,147
8,868,868,147
9,3,2,147
10,868,3,147
11,2,868,147
12,868,2,147
13,2,3,147
14,3,868,147
15,868,2,147
16,3,3,147
17,2,868,147
0,2,2,148
1,3,3,148
2,868,868,148
3,2,2,148
4,868,3,148
5,3,868,148
6,3,2,148
7,2,3,148
8,868,868,148
9,3,2,148
10,868,3,148
11,2,868,148
12,868,2,148
13,2,3,148
14,3,868,148
15,868,2,148
16,3,3,148
17,2,868,148
0,2,2,149
1,3,3,149
2,868,868,149
3,2,2,149
4,868,3,149
5,3,868,149
6,3,2,149
7,2,3,149
8,868,868,149
9,3,2,149
10,868,3,149
11,2,868,149
12,868,2,149
13,2,3,149
14,3,868,149
15,868,2,149
16,3,3,149
17,2,868,149
0,2,2,150
1,3,3,150
2,868,868,150
3,2,2,150
4,868,3,150
5,3,868,150
6,3,2,150
7,2,3,150
8,868,868,150
9,3,2,150
10,868,3,150
11,2,868,150
12,868,2,150
13,2,3,150
14,3,868,150
15,868,2,150
16,3,3,150
17,2,868,150
0,2,2,151
1,3,3,151
2,868,868,151
3,2,2,151
4,868,3,151
5,3,868,151
6,3,2,151
7,2,3,151
8,868,868,151
9,3,2,151
10,868,3,151
11,2,868,151
12,868,2,151
13,2,3,151
14,3,868,151
15,868,2,151
16,3,3,151
17,2,868,151
0,2,2,152
1,3,3,152
2,868,868,152
3,2,2,152
4,868,3,152
5,3,868,152
6,3,2,152
7,2,3,152
8,868,868,152
9,3,2,152
10,868,3,152
11,2,868,152
12,868,2,152
13,2,3,152
14,3,868,152
15,868,2,152
16,3,3,152
17,2,868,152
0,2,2,153
1,3,3,153
2,868,868,153
3,2,2,153
4,868,3,153
5,3,868,153
6,3,2,153
7,2,3,153
8,868,868,153
9,3,2,153
10,868,3,153
11,2,868,153
12,868,2,153
13,2,3,153
14,3,868,153
15,868,2,153
16,3,3,153
17,2,868,153
0,2,2,154
1,3,3,154
2,868,868,154
3,2,2,154
4,868,3,154
5,3,868,154
6,3,2,154
7,2,3,154
8,868,868,154
9,3,2,154
10,868,3,154
11,2,868,154
12,868,2,154
13,2,3,154
14,3,868,154
15,868,2,154
16,3,3,154
17,2,868,154
0,2,2,155
1,3,3,155
2,868,868,155
3,2,2,155
4,868,3,155
5,3,868,155
6,3,2,155
7,2,3,155
8,868,868,155
9,3,2,155
10,868,3,155
11,2,868,155
12,868,2,155
13,2,3,155
14,3,868,155
15,868,2,155
16,3,3,155
17,2,868,155
0,2,2,156
1,3,3,156
2,868,868,156
3,2,2,156
4,868,3,156
5,3,868,156
6,3,2,156
7,2,3,156
8,868,868,156
9,3,2,156
10,868,3,156
11,2,868,156
12,868,2,156
13,2,3,156
14,3,868,156
15,868,2,156
16,3,3,156
17,2,868,156
0,2,2,157
1,3,3,157
2,868,868,157
3,2,2,157
4,868,3,157
5,3,868,157
6,3,2,157
7,2,3,157
8,868,868,157
9,3,2,157
10,868,3,157
11,2,868,157
12,868,2,157
13,2,3,157
14,3,868,157
15,868,2,157
16,3,3,157
17,2,868,157
0,2,2,158
1,3,3,158
2,868,868,158
3,2,2,158
4,868,3,158
5,3,868,158
6,3,2,158
7,2,3,158
8,868,868,158
9,3,2,158
10,868,3,158
11,2,868,158
12,868,2,158
13,2,3,158
14,3,868,158
15,868,2,158
16,3,3,158
17,2,868,158
0,2,2,159
1,3,3,159
2,868,868,159
3,2,2,159
4,868,3,159
5,3,868,159
6,3,2,159
7,2,3,159
8,868,868,159
9,3,2,159
10,868,3,159
11,2,868,159
12,868,2,159
13,2,3,159
14,3,868,159
15,868,2,159
16,3,3,159
17,2,868,159
0,2,2,160
1,3,3,160
2,868,868,160
3,2,2,160
4,868,3,160
5,3,868,160
6,3,2,160
7,2,3,160
8,868,868,160
9,3,2,160
10,868,3,160
11,2,868,160
12,868,2,160
13,2,3,160
14,3,868,160
15,868,2,160
16,3,3,160
17,2,868,160
0,2,2,161
1,3,3,161
2,868,868,161
3,2,2,161
4,868,3,161
5,3,868,161
6,3,2,161
7,2,3,161
8,868,868,161
9,3,2,161
10,868,3,161
11,2,868,161
12,868,2,161
13,2,3,161
14,3,868,161
15,868,2,161
16,3,3,161
17,2,868,161
0,2,2,162
1,3,3,162
2,868,868,162
3,2,2,162
4,868,3,162
5,3,868,162
6,3,2,162
7,2,3,162
8,868,868,162
9,3,2,162
10,868,3,162
11,2,868,162
12,868,2,162
13,2,3,162
14,3,868,162
15,868,2,162
16,3,3,162
17,2,868,162
0,2,2,163
1,3,3,163
2,868,868,163
3,2,2,163
4,868,3,163
5,3,868,163
6,3,2,163
7,2,3,163
8,868,868,163
9,3,2,163
10,868,3,163
11,2,868,163
12,868,2,163
13,2,3,163
14,3,868,163
15,868,2,163
16,3,3,163
17,2,868,163
